ID	name	mime	release year	comments
1	Compiled HTML Help File	application/vnd.ms-htmlhelp	1997	https://en.wikipedia.org/wiki/Microsoft_Compiled_HTML_Help  http://www.online-convert.com/file-format/chm
2	Microsoft Word Binary File Format	application/msword	1983	http://www.online-convert.com/file-format/doc
3	Word Open XML Macro-Enabled Document	application/vnd.ms-word.document.macroEnabled.12	2007	http://www.online-convert.com/file-format/docm
4	Microsoft Word Open XML Document	application/vnd.openxmlformats-officedocument.wordprocessingml.document	2007	http://www.online-convert.com/file-format/docx
5	Word Open XML Document Template	application/vnd.openxmlformats-officedocument.wordprocessingml.template	2007	http://www.online-convert.com/file-format/dotx
6	Adobe PostScript	application/postscript	1982	https://en.wikipedia.org/wiki/PostScript
7	Adobe Encapsulated PostScript	application/eps,application/x-eps,image/eps,image/x-eps	1992	https://en.wikipedia.org/wiki/Encapsulated_PostScript http://www.online-convert.com/file-format/eps  http://filext.com/file-extension/EPS
8	Hanword Document		1989	https://en.wikipedia.org/wiki/Hangul_%28word_processor%29  http://www.online-convert.com/file-format/hwp
9	OpenDocument Text Document	application/vnd.oasis.opendocument.text	2005	https://en.wikipedia.org/wiki/OpenDocument
10	Pages document	application/x-iwork-pages-sffpages	2005	http://www.online-convert.com/file-format/pages
11	Portable Document Format	application/pdf	1993	http://www.online-convert.com/file-format/pdf
12	Microsoft Publisher Document File	application/x-mspublisher	1991	http://www.online-convert.com/file-format/pub  https://en.wikipedia.org/wiki/Microsoft_Publisher
13	Rich Text Format	application/rtf	1987	http://www.online-convert.com/file-format/rtf
14	StarOffice Writer Document	application/vnd.sun.xml.writer	1985	http://www.online-convert.com/file-format/sxw
15	WordPerfect Document File 5.1	application/wordperfect5.1	1989	https://en.wikipedia.org/wiki/WordPerfect, https://www.nationalarchives.gov.uk/PRONOM/Format/proFormatSearch.aspx?status=detailReport&id=737
16	WordPerfect Document File	application/wordperfect,application/x-wpwin	1979	http://www.online-convert.com/file-format/wpd  https://en.wikipedia.org/wiki/WordPerfect
17	Microsoft Works file format	application/vnd.ms-works	1988	https://en.wikipedia.org/wiki/Microsoft_Works  http://www.online-convert.com/file-format/wps
18	Microsoft XML Paper Specification (XPS)	application/vnd.ms-xpsdocument		
19	Open XML Paper Specification (OpenXPS)	application/oxps,application/vnd.ms-xpsdocument	2006	https://en.wikipedia.org/wiki/Open_XML_Paper_Specification